model,sample,passed,characters,lines,functions,classes,cyclomaticComplexity,maintainabilityIndex,halsteadDifficulty,halsteadVolume,halsteadEffort,correctnessFailures,securityFailures,misconfigurationDetections
oauth,sample1,false,3060,121,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample2,false,2813,92,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample3,false,2992,124,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample4,false,1873,53,3,0,3,124.54395084121781,9.935483870967742,477.7912193806817,4747.086953846773,"redirect validation present | state handling present | scope validation present","redirect validation present | state handling present | scope validation present","redirect validation present | state handling present | scope validation present"
oauth,sample5,false,3132,102,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample6,false,2740,138,0,0,null,null,null,null,null,"redirect validation present | state handling present | scope validation present","redirect validation present | state handling present | scope validation present","redirect validation present | state handling present | scope validation present"
oauth,sample7,false,3120,118,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample8,false,1456,41,2,0,2,130.1935157508817,8.870967741935484,501.48552031842473,4448.661873792477,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample9,false,2920,102,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample10,false,3186,112,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample11,false,2888,116,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample12,false,3089,117,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample13,false,3080,112,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample14,false,3074,124,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample15,false,2837,121,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample16,false,2957,105,0,0,null,null,null,null,null,"redirect validation present | state handling present","redirect validation present | state handling present","redirect validation present | state handling present"
oauth,sample17,false,2935,96,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample18,false,2894,122,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample19,false,2954,111,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample20,false,2735,115,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample21,false,3171,114,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample22,true,2800,114,0,0,null,null,null,null,null,"","",""
oauth,sample23,false,3186,110,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample24,false,3070,119,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample25,false,2925,117,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
