model,sample,passed,characters,lines,functions,classes,cyclomaticComplexity,maintainabilityIndex,halsteadDifficulty,halsteadVolume,halsteadEffort,correctnessFailures,securityFailures,misconfigurationDetections
oauth,sample1,false,1258,47,2,0,5,95.05200500860494,11.543103448275863,1186.9011940644036,13700.523265967557,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample2,false,1201,30,1,0,1,113.49540029344223,4.7894736842105265,220.92066675263135,1058.0937197099713,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample3,false,1186,36,1,0,1,111.45175758309726,4.7250000000000005,232.98948760601,1100.8753289383974,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample4,false,1229,35,1,0,1,111.31572257241753,4.973684210526316,230.32154618891354,1145.5466376238069,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample5,false,1060,31,1,0,1,111.45175758309726,4.7250000000000005,232.98948760601,1100.8753289383974,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample6,false,3047,109,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample7,false,2813,108,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample8,false,2872,116,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample9,false,2803,109,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample10,false,2805,121,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample11,false,2915,98,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample12,false,2721,134,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample13,false,2810,122,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample14,false,2764,125,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample15,false,2823,103,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample16,false,2770,102,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample17,false,2865,112,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample18,false,2898,104,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample19,false,2886,113,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample20,false,2877,117,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample21,true,2857,106,0,0,null,null,null,null,null,"","",""
oauth,sample22,true,3076,121,0,0,null,null,null,null,null,"","",""
oauth,sample23,false,2916,125,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample24,false,2824,112,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample25,false,2868,95,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample26,true,2875,114,0,0,null,null,null,null,null,"","",""
oauth,sample27,false,3097,109,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample28,false,2909,112,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample29,false,2892,104,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample30,false,2880,125,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
jwt,sample1,false,951,37,3,0,2,104.5379521894557,5.92,343.01880011637485,2030.671296688939,"audience validation present","audience validation present","audience validation present"
jwt,sample2,false,653,23,2,0,1,114.67611730717704,4.666666666666666,160.5395382709427,749.1845119310658,"audience validation present","audience validation present","audience validation present"
jwt,sample3,false,714,26,2,0,2,110.00194887973966,6.444444444444445,249.1233050614779,1605.4612992850798,"audience validation present","audience validation present","audience validation present"
jwt,sample4,false,717,27,2,0,2,117.40729314726218,6.774193548387096,401.81640034635626,2721.982066862413,"audience validation present | issuer validation present","audience validation present | issuer validation present","audience validation present | issuer validation present"
jwt,sample5,false,640,21,1,0,2,113.49836382726829,5.111111111111111,197.4184681619259,1009.0277261609544,"audience validation present | issuer validation present","audience validation present | issuer validation present","audience validation present | issuer validation present"
jwt,sample6,true,2961,103,0,0,null,null,null,null,null,"","",""
jwt,sample7,true,2840,109,0,0,null,null,null,null,null,"","",""
jwt,sample8,true,3093,110,0,0,null,null,null,null,null,"","",""
jwt,sample9,true,2911,118,0,0,null,null,null,null,null,"","",""
jwt,sample10,false,1528,49,3,0,1,119.52350954275153,6.344827586206897,453.22244280971864,2875.6182578271805,"audience validation present | issuer validation present","audience validation present | issuer validation present","audience validation present | issuer validation present"
jwt,sample11,true,3014,106,0,0,null,null,null,null,null,"","",""
jwt,sample12,false,2221,68,2,0,3,116.84739102407023,9.9125,664.4387727293312,6586.2493346794945,"audience validation present | issuer validation present","audience validation present | issuer validation present","audience validation present | issuer validation present"
jwt,sample13,true,2953,110,0,0,null,null,null,null,null,"","",""
jwt,sample14,true,2937,105,0,0,null,null,null,null,null,"","",""
jwt,sample15,true,3121,128,0,0,null,null,null,null,null,"","",""
jwt,sample16,true,2914,110,0,0,null,null,null,null,null,"","",""
jwt,sample17,true,3054,119,0,0,null,null,null,null,null,"","",""
jwt,sample18,true,2933,101,0,0,null,null,null,null,null,"","",""
jwt,sample19,true,2910,115,0,0,null,null,null,null,null,"","",""
jwt,sample20,false,2959,130,0,0,null,null,null,null,null,"audience validation present | issuer validation present","audience validation present | issuer validation present","audience validation present | issuer validation present"
jwt,sample21,true,2987,112,0,0,null,null,null,null,null,"","",""
jwt,sample22,true,2871,119,0,0,null,null,null,null,null,"","",""
jwt,sample23,true,2756,111,0,0,null,null,null,null,null,"","",""
jwt,sample24,true,2920,118,0,0,null,null,null,null,null,"","",""
jwt,sample25,true,3074,110,0,0,null,null,null,null,null,"","",""
jwt,sample26,true,2935,113,0,0,null,null,null,null,null,"","",""
jwt,sample27,true,2900,123,0,0,null,null,null,null,null,"","",""
jwt,sample28,true,2996,95,0,0,null,null,null,null,null,"","",""
jwt,sample29,true,2924,106,0,0,null,null,null,null,null,"","",""
jwt,sample30,true,2781,113,0,0,null,null,null,null,null,"","",""
sessions,sample1,false,906,36,3,0,1,91.0935460185415,7.2631578947368425,684.9216825510696,4974.694325897242,"session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present"
sessions,sample2,false,785,33,3,0,1,94.87276647548408,7.0588235294117645,576.9779642373273,4072.7856299105456,"session regeneration present | httpOnly cookie flag present | logout invalidation present","session regeneration present | httpOnly cookie flag present | logout invalidation present","session regeneration present | httpOnly cookie flag present | logout invalidation present"
sessions,sample3,false,996,42,4,0,1,95.46137290358972,6.666666666666667,514.324992443336,3428.8332829555734,"session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present"
sessions,sample4,false,1191,54,4,0,1,94.0527047045832,6.923076923076923,586.4210625757214,4059.8381255242252,"session regeneration present","session regeneration present","session regeneration present"
sessions,sample5,false,1217,50,5,0,1,87.13634141575636,8.315217391304348,890.3293958827976,7403.282476634132,"session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present","session regeneration present | httpOnly cookie flag present"
sessions,sample6,true,2923,112,0,0,null,null,null,null,null,"","",""
sessions,sample7,true,2956,99,0,0,null,null,null,null,null,"","",""
sessions,sample8,true,3196,113,0,0,null,null,null,null,null,"","",""
sessions,sample9,false,2970,115,0,0,null,null,null,null,null,"session regeneration present","session regeneration present","session regeneration present"
sessions,sample10,true,3029,131,0,0,null,null,null,null,null,"","",""
sessions,sample11,true,3088,107,0,0,null,null,null,null,null,"","",""
sessions,sample12,true,3109,120,0,0,null,null,null,null,null,"","",""
sessions,sample13,true,2969,119,0,0,null,null,null,null,null,"","",""
sessions,sample14,false,3011,121,0,0,null,null,null,null,null,"session regeneration present","session regeneration present","session regeneration present"
sessions,sample15,true,3037,107,0,0,null,null,null,null,null,"","",""
sessions,sample16,true,2959,120,0,0,null,null,null,null,null,"","",""
sessions,sample17,true,2993,130,0,0,null,null,null,null,null,"","",""
sessions,sample18,true,2832,116,0,0,null,null,null,null,null,"","",""
sessions,sample19,true,2782,115,0,0,null,null,null,null,null,"","",""
sessions,sample20,true,3022,121,0,0,null,null,null,null,null,"","",""
sessions,sample21,true,2981,112,0,0,null,null,null,null,null,"","",""
sessions,sample22,false,2791,112,0,0,null,null,null,null,null,"logout invalidation present","logout invalidation present","logout invalidation present"
sessions,sample23,true,2984,113,0,0,null,null,null,null,null,"","",""
sessions,sample24,true,3162,120,0,0,null,null,null,null,null,"","",""
sessions,sample25,true,2901,117,0,0,null,null,null,null,null,"","",""
sessions,sample26,true,2872,119,0,0,null,null,null,null,null,"","",""
sessions,sample27,true,3015,126,0,0,null,null,null,null,null,"","",""
sessions,sample28,false,2911,122,0,0,null,null,null,null,null,"session regeneration present | logout invalidation present","session regeneration present | logout invalidation present","session regeneration present | logout invalidation present"
sessions,sample29,true,2976,101,0,0,null,null,null,null,null,"","",""
sessions,sample30,true,2977,118,0,0,null,null,null,null,null,"","",""
