model,sample,passed,characters,lines,functions,classes,cyclomaticComplexity,maintainabilityIndex,halsteadDifficulty,halsteadVolume,halsteadEffort,correctnessFailures,securityFailures,misconfigurationDetections
oauth,sample1,false,1768,57,3,0,1,100.11710182733816,6.553191489361702,809.3903598934523,5304.090018025177,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample2,false,1876,55,5,0,2,146.5238300134652,9.206521739130435,828.2703820113934,7625.489277865764,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample3,false,1374,42,4,0,1,156.4818681118486,7.826086956521739,778.185559555719,6090.147857392583,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample4,false,1904,53,3,0,1,156.4818681118486,9.382352941176471,958.625605972287,8994.163773681163,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample5,false,1251,44,3,0,1,102.08202345414523,6.888888888888889,633.2940677619265,4362.692466804383,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample6,false,1384,43,1,0,1,101.1393293815469,7.225806451612903,544.3964285428116,3933.7032255996705,"scope validation present | no permissive admin default","scope validation present | no permissive admin default","scope validation present | no permissive admin default"
oauth,sample7,false,1401,34,4,0,1,103.86232357806908,7.794871794871795,788.7516169382245,6148.2177320312885,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample8,false,1770,56,5,0,1,141.43390226991409,10.2,928.8546244203526,9474.317169087595,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample9,false,1242,38,3,0,1,99.56063287555929,6.380952380952381,688.5504551525164,4393.6076662112955,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample10,false,1615,39,5,0,1,171,7.438775510204082,866.9811872788806,6449.278423737796,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample11,false,1377,43,1,0,1,102.58227916883484,7.961538461538462,714.875200092308,5691.506400734914,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample12,false,1414,42,5,0,1,157.1692474716417,9.411111111111111,836.2591087762951,7870.127390372466,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample13,false,1286,31,3,0,1,108.62544761267412,7,627.8346361432892,4394.842453003024,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample14,false,1628,45,2,0,1,101.28113085863848,6.909090909090909,798.0615605397529,5513.879872820111,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample15,true,1529,52,1,0,1,105.04144374316306,5.7272727272727275,320.6267456784198,1836.3168161582225,"","",""
oauth,sample16,false,1518,50,3,0,1,97.95434894965643,7.5,675.7804625872599,5068.353469404449,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample17,false,1365,42,4,0,1,102.67752203726818,7.7625,713.0681502026315,5535.191515947927,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample18,false,824,23,1,0,1,113.49540029344223,4.7894736842105265,220.92066675263135,1058.0937197099713,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample19,false,1658,51,5,0,1,94.88336448374889,7.946808510638298,865.2958833865831,6876.3406903167825,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample20,false,1072,35,2,0,1,100.35552826373797,7.2439024390243905,682.9065989627417,4946.908777852055,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
