model,sample,passed,characters,lines,functions,classes,cyclomaticComplexity,maintainabilityIndex,halsteadDifficulty,halsteadVolume,halsteadEffort,correctnessFailures,securityFailures,misconfigurationDetections
oauth,sample1,false,1506,43,2,0,1,104.9703876151577,6,312.4780699337442,1874.8684196024653,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample2,false,1450,40,3,0,6,104.24970832779596,10.758620689655173,1119.253975749852,12041.628980481168,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample3,false,1555,50,5,0,1,112.84241797148145,4.846153846153846,151.26748332105768,733.0654960943564,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample4,false,1228,33,4,0,1,102.45383834400582,8.076923076923077,731.6300875944714,5909.319938263038,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample5,false,1864,63,6,0,1,140.46874249076825,7.346938775510204,794.1568116638487,5834.621473448684,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample6,false,3047,109,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample7,false,2813,108,0,0,null,null,null,null,null,"scope validation present","scope validation present","scope validation present"
oauth,sample8,false,2872,116,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample9,false,2803,109,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample10,false,2805,121,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample11,false,2915,98,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample12,false,2721,134,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample13,false,2810,122,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample14,false,2764,125,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample15,false,2823,103,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample16,false,2770,102,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample17,false,2865,112,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample18,false,2898,104,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample19,false,2886,113,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample20,false,2877,117,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample21,true,2857,106,0,0,null,null,null,null,null,"","",""
oauth,sample22,true,3076,121,0,0,null,null,null,null,null,"","",""
oauth,sample23,false,2916,125,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample24,false,2824,112,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample25,false,2868,95,0,0,null,null,null,null,null,"redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default","redirect validation present | scope validation present | no permissive admin default"
oauth,sample26,true,2875,114,0,0,null,null,null,null,null,"","",""
oauth,sample27,false,3097,109,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample28,false,2909,112,0,0,null,null,null,null,null,"redirect validation present | scope validation present","redirect validation present | scope validation present","redirect validation present | scope validation present"
oauth,sample29,false,2892,104,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
oauth,sample30,false,2880,125,0,0,null,null,null,null,null,"redirect validation present","redirect validation present","redirect validation present"
jwt,sample1,true,1096,35,3,0,4,96.67063442907428,6.666666666666667,557.1854084802807,3714.569389868538,"","",""
jwt,sample2,true,1003,38,1,0,3,101.0317610145575,8.478260869565219,691.2417574250535,5860.527943386324,"","",""
jwt,sample3,true,1060,31,2,0,4,105.29313385305838,8.326530612244898,735.411429857798,6123.425783305747,"","",""
jwt,sample4,true,958,37,2,0,4,103.68918046703243,7.75,320.53535008942333,2484.148963193031,"","",""
jwt,sample5,true,1531,55,5,0,1,88.20125268523125,7.3,742.8000125959138,5422.44009195017,"","",""
jwt,sample6,true,2961,103,0,0,null,null,null,null,null,"","",""
jwt,sample7,true,2840,109,0,0,null,null,null,null,null,"","",""
jwt,sample8,true,3093,110,0,0,null,null,null,null,null,"","",""
jwt,sample9,true,2911,118,0,0,null,null,null,null,null,"","",""
